Time (seconds)	TX_1 (S_21 (dB))	TX_2 (S_21 (dB))	TX_3 (S_21 (dB))	TX_4 (S_21 (dB))	TX_5 (S_21 (dB))	TX_6 (S_21 (dB))	TX_7 (S_21 (dB))	TX_8 (S_21 (dB))	
2.7250	-14.1199-0.0145i	-29.2501-0.0618i	-12.2566+0.0112i	-6.8437+0.1924i	-27.8556-0.0612i	-36.6251-0.0630i	-5.3749+1.4343i	-36.3524-0.0630i
2.7271	-14.1042-0.0143i	-29.1937-0.0617i	-12.2382+0.0115i	-6.8496+0.1921i	-27.8649-0.0612i	-36.5038-0.0630i	-5.2900+1.4266i	-36.4248-0.0630i
2.7292	-14.1303-0.0146i	-29.1967-0.0617i	-12.2517+0.0113i	-6.8474+0.1922i	-27.9058-0.0612i	-36.6426-0.0630i	-5.1181+1.4102i	-36.4787-0.0630i
2.7313	-14.1311-0.0146i	-29.1946-0.0617i	-12.2537+0.0112i	-6.7910+0.1956i	-27.8749-0.0612i	-36.5372-0.0630i	-5.0710+1.4056i	-36.4786-0.0630i
2.7333	-14.1182-0.0145i	-29.1511-0.0617i	-12.2328+0.0116i	-6.7864+0.1959i	-27.8745-0.0612i	-36.6528-0.0630i	-5.0389+1.4024i	-36.5083-0.0630i
2.7354	-14.1312-0.0146i	-29.1649-0.0617i	-12.2231+0.0118i	-6.7632+0.1973i	-27.8717-0.0612i	-36.5431-0.0630i	-4.9366+1.3919i	-36.6011-0.0630i
2.7375	-14.1290-0.0146i	-29.1267-0.0617i	-12.2355+0.0116i	-6.7641+0.1972i	-27.8951-0.0612i	-36.6179-0.0630i	-4.8596+1.3838i	-36.6717-0.0630i
2.7396	-14.1455-0.0148i	-29.1522-0.0617i	-12.2277+0.0117i	-6.7798+0.1963i	-27.9229-0.0612i	-36.4776-0.0630i	-4.7471+1.3715i	-36.7220-0.0630i
2.7417	-14.1637-0.0150i	-29.0572-0.0617i	-12.2260+0.0117i	-6.7525+0.1979i	-27.9621-0.0612i	-36.6285-0.0630i	-4.7073+1.3670i	-36.8707-0.0630i
2.7437	-14.1426-0.0148i	-29.0586-0.0617i	-12.2229+0.0118i	-6.7151+0.2002i	-27.9748-0.0612i	-36.4740-0.0630i	-4.6239+1.3574i	-36.7962-0.0630i
2.7458	-14.1471-0.0148i	-29.0634-0.0617i	-12.2302+0.0116i	-6.7013+0.2011i	-27.7901-0.0612i	-36.6382-0.0630i	-4.5717+1.3513i	-36.8907-0.0630i
2.7479	-14.2023-0.0154i	-29.0169-0.0617i	-12.2371+0.0115i	-6.6783+0.2025i	-27.8371-0.0612i	-36.5855-0.0630i	-4.4419+1.3354i	-36.9506-0.0630i
2.7500	-14.1758-0.0151i	-28.9934-0.0617i	-12.2109+0.0120i	-6.6745+0.2027i	-27.8090-0.0612i	-36.7077-0.0630i	-4.3809+1.3276i	-37.0609-0.0630i
2.7521	-14.1558-0.0149i	-28.9846-0.0617i	-12.2072+0.0120i	-6.6448+0.2046i	-27.7764-0.0611i	-36.4835-0.0630i	-4.3789+1.3274i	-37.1363-0.0630i
2.7542	-14.1728-0.0151i	-28.9644-0.0617i	-12.2194+0.0118i	-6.6503+0.2043i	-27.8113-0.0612i	-36.5756-0.0630i	-4.2672+1.3126i	-37.2802-0.0630i
2.7563	-14.1738-0.0151i	-28.9543-0.0617i	-12.2349+0.0116i	-6.6362+0.2051i	-27.7556-0.0611i	-36.4586-0.0630i	-4.2349+1.3082i	-37.3437-0.0630i
2.7583	-14.1337-0.0147i	-28.9463-0.0617i	-12.2197+0.0118i	-6.6164+0.2064i	-27.7372-0.0611i	-36.5889-0.0630i	-4.1940+1.3025i	-37.3539-0.0630i
2.7604	-14.1246-0.0146i	-28.9462-0.0617i	-12.2116+0.0120i	-6.5896+0.2081i	-27.7228-0.0611i	-36.4449-0.0630i	-4.1353+1.2942i	-37.4619-0.0630i
2.7625	-14.1552-0.0149i	-28.9091-0.0616i	-12.2211+0.0118i	-6.6096+0.2068i	-27.9227-0.0612i	-36.5291-0.0630i	-4.0353+1.2794i	-37.5468-0.0631i
2.7646	-14.1811-0.0152i	-28.9130-0.0616i	-12.2482+0.0113i	-6.5923+0.2079i	-27.8468-0.0612i	-36.4697-0.0630i	-3.9929+1.2729i	-37.5532-0.0631i
2.7667	-14.1518-0.0149i	-28.8867-0.0616i	-12.2382+0.0115i	-6.5656+0.2096i	-27.7831-0.0612i	-36.5674-0.0630i	-3.9859+1.2718i	-37.6046-0.0631i
2.7687	-14.1461-0.0148i	-28.8920-0.0616i	-12.2056+0.0121i	-6.5776+0.2089i	-27.8377-0.0612i	-36.3942-0.0630i	-3.8891+1.2564i	-37.8110-0.0631i
2.7708	-14.1552-0.0149i	-28.8769-0.0616i	-12.2091+0.0120i	-6.5816+0.2086i	-27.8230-0.0612i	-36.6594-0.0630i	-3.8202+1.2449i	-37.8538-0.0631i
2.7729	-14.1427-0.0148i	-28.9054-0.0616i	-12.2064+0.0121i	-6.5456+0.2109i	-27.8217-0.0612i	-36.4656-0.0630i	-3.7590+1.2343i	-37.9445-0.0631i
2.7750	-14.1253-0.0146i	-28.8702-0.0616i	-12.2019+0.0121i	-6.5326+0.2117i	-27.8458-0.0612i	-36.4840-0.0630i	-3.7303+1.2292i	-38.0651-0.0631i
2.7771	-14.1187-0.0145i	-28.8238-0.0616i	-12.1946+0.0123i	-6.4932+0.2143i	-27.8353-0.0612i	-36.3772-0.0630i	-3.6808+1.2201i	-38.1888-0.0631i
2.7792	-13.9689-0.0128i	-28.7783-0.0616i	-12.1552+0.0129i	-6.4396+0.2178i	-27.8651-0.0612i	-36.4744-0.0630i	-3.7239+1.2280i	-38.3970-0.0631i
2.7812	-14.0209-0.0134i	-28.7717-0.0616i	-12.1906+0.0123i	-6.4346+0.2182i	-27.8391-0.0612i	-36.3497-0.0630i	-3.6690+1.2179i	-38.3817-0.0631i
2.7833	-14.1255-0.0146i	-28.7854-0.0616i	-12.1995+0.0122i	-6.4633+0.2163i	-27.8804-0.0612i	-36.3928-0.0630i	-3.5342+1.1914i	-38.4120-0.0631i
2.7854	-14.0596-0.0138i	-28.7567-0.0616i	-12.1757+0.0126i	-6.3977+0.2206i	-27.8432-0.0612i	-36.2722-0.0630i	-3.5207+1.1886i	-38.5465-0.0631i
2.7875	-14.1099-0.0144i	-28.7367-0.0616i	-12.1871+0.0124i	-6.4073+0.2200i	-27.7875-0.0612i	-36.4186-0.0630i	-3.4290+1.1687i	-38.6519-0.0631i
2.7896	-14.0746-0.0140i	-28.6841-0.0616i	-12.1847+0.0124i	-6.3676+0.2227i	-27.7637-0.0611i	-36.2860-0.0630i	-3.3824+1.1580i	-38.7564-0.0631i
2.7917	-14.1386-0.0147i	-28.6538-0.0615i	-12.1914+0.0123i	-6.3716+0.2224i	-27.7524-0.0611i	-36.5337-0.0630i	-3.3428+1.1485i	-38.7425-0.0631i
2.7938	-14.1556-0.0149i	-28.6759-0.0615i	-12.1931+0.0123i	-6.3624+0.2230i	-27.7146-0.0611i	-36.3449-0.0630i	-3.3161+1.1419i	-38.8883-0.0631i
2.7958	-14.1191-0.0145i	-28.6458-0.0615i	-12.1626+0.0128i	-6.3396+0.2246i	-27.7018-0.0611i	-36.4822-0.0630i	-3.2545+1.1259i	-39.0045-0.0631i
2.7979	-14.1545-0.0149i	-28.7666-0.0616i	-12.1749+0.0126i	-6.3269+0.2254i	-27.6552-0.0611i	-36.4061-0.0630i	-3.2214+1.1168i	-39.1000-0.0631i
2.8000	-14.1201-0.0145i	-28.7115-0.0616i	-12.1682+0.0127i	-6.2868+0.2282i	-27.5801-0.0611i	-36.4633-0.0630i	-3.2203+1.1165i	-39.1217-0.0631i
2.8021	-14.1414-0.0148i	-28.6527-0.0615i	-12.1581+0.0129i	-6.2853+0.2283i	-27.5990-0.0611i	-36.3312-0.0630i	-3.1573+1.0981i	-39.3461-0.0631i
2.8042	-14.1342-0.0147i	-28.6448-0.0615i	-12.1600+0.0129i	-6.2813+0.2286i	-27.6233-0.0611i	-36.4471-0.0630i	-3.1225+1.0872i	-39.4570-0.0631i
2.8062	-14.1284-0.0146i	-28.6069-0.0615i	-12.1720+0.0126i	-6.2269+0.2324i	-27.5675-0.0610i	-36.3676-0.0630i	-3.1100+1.0831i	-39.4964-0.0631i
2.8083	-14.1393-0.0147i	-28.6275-0.0615i	-12.1637+0.0128i	-6.2151+0.2332i	-27.5327-0.0610i	-36.4035-0.0630i	-3.0672+1.0686i	-39.6316-0.0631i
2.8104	-14.1757-0.0151i	-28.6209-0.0615i	-12.1587+0.0129i	-6.1819+0.2355i	-27.5237-0.0610i	-36.3671-0.0630i	-3.0202+1.0511i	-39.8297-0.0631i
2.8125	-14.1477-0.0148i	-28.5677-0.0615i	-12.1634+0.0128i	-6.1491+0.2379i	-27.4623-0.0610i	-36.4890-0.0630i	-3.0373+1.0576i	-39.7818-0.0631i
2.8146	-14.1322-0.0147i	-28.5854-0.0615i	-12.1599+0.0129i	-6.1339+0.2390i	-27.4089-0.0610i	-36.2947-0.0630i	-3.0219+1.0517i	-39.8702-0.0631i
2.8167	-14.1457-0.0148i	-28.5377-0.0615i	-12.1661+0.0127i	-6.1191+0.2400i	-27.3391-0.0609i	-36.4508-0.0630i	-2.9973+1.0419i	-40.1307-0.0632i
2.8188	-14.3574-0.0171i	-28.7445-0.0616i	-12.3196+0.0101i	-6.2756+0.2290i	-27.4074-0.0610i	-36.4135-0.0630i	-2.9790+1.0342i	-39.9204-0.0631i
2.8208	-14.3141-0.0166i	-28.6949-0.0616i	-12.2947+0.0106i	-6.2150+0.2332i	-27.2998-0.0609i	-36.8626-0.0630i	-2.9593+1.0254i	-39.8995-0.0631i
2.8229	-14.2732-0.0162i	-28.6079-0.0615i	-12.2624+0.0111i	-6.1846+0.2353i	-27.3043-0.0609i	-36.6958-0.0630i	-2.9376+1.0151i	-40.1726-0.0632i
2.8250	-14.3465-0.0170i	-28.6071-0.0615i	-12.2945+0.0106i	-6.2109+0.2335i	-27.3762-0.0609i	-36.7929-0.0630i	-2.9298+1.0113i	-40.0632-0.0632i
2.8271	-14.4089-0.0176i	-28.7451-0.0616i	-12.3083+0.0103i	-6.2770+0.2289i	-27.3387-0.0609i	-36.8135-0.0630i	-2.8993+0.9949i	-40.1689-0.0632i
2.8292	-14.4415-0.0180i	-28.7119-0.0616i	-12.3236+0.0101i	-6.2913+0.2279i	-27.3312-0.0609i	-36.8110-0.0630i	-2.8763+0.9810i	-40.2522-0.0632i
2.8312	-14.4066-0.0176i	-28.7041-0.0616i	-12.2920+0.0106i	-6.2394+0.2315i	-27.3117-0.0609i	-36.8213-0.0630i	-2.8609+0.9706i	-40.5584-0.0632i
2.8333	-14.2649-0.0161i	-28.7403-0.0616i	-12.2174+0.0119i	-6.1576+0.2373i	-27.2628-0.0609i	-36.7322-0.0630i	-2.8494+0.9621i	-40.7988-0.0632i
2.8354	-14.2501-0.0159i	-28.7650-0.0616i	-12.1966+0.0122i	-6.1487+0.2379i	-27.2483-0.0609i	-36.7415-0.0630i	-2.8312+0.9467i	-41.1389-0.0632i
2.8375	-14.1247-0.0146i	-28.8062-0.0616i	-12.1375+0.0132i	-6.0803+0.2429i	-27.2706-0.0609i	-36.7750-0.0630i	-2.8216+0.9373i	-41.4146-0.0632i
2.8396	-14.1220-0.0145i	-28.7936-0.0616i	-12.1186+0.0136i	-6.0621+0.2442i	-27.2399-0.0609i	-36.7454-0.0630i	-2.8135+0.9282i	-41.6934-0.0632i
2.8417	-14.1571-0.0149i	-28.6419-0.0615i	-12.0994+0.0139i	-6.0351+0.2462i	-27.2782-0.0609i	-36.8498-0.0630i	-2.8195+0.9350i	-41.9855-0.0632i
2.8438	-14.0624-0.0139i	-28.6620-0.0615i	-12.0720+0.0144i	-5.9250+0.2545i	-27.3661-0.0609i	-36.7105-0.0630i	-2.8094+0.9230i	-42.1775-0.0632i
2.8458	-14.1030-0.0143i	-28.6792-0.0615i	-12.0712+0.0144i	-5.9340+0.2538i	-27.3630-0.0609i	-36.8520-0.0630i	-2.8002+0.9091i	-42.0723-0.0632i
2.8479	-14.1807-0.0152i	-28.5793-0.0615i	-12.1038+0.0138i	-5.9969+0.2490i	-27.3576-0.0609i	-36.8618-0.0630i	-2.7986+0.9060i	-42.1695-0.0632i
2.8500	-14.2472-0.0159i	-28.4091-0.0614i	-12.0979+0.0139i	-5.9530+0.2523i	-27.3436-0.0609i	-37.0116-0.0630i	-2.7929+0.8932i	-42.3244-0.0632i
2.8521	-14.2191-0.0156i	-28.3738-0.0614i	-12.0866+0.0141i	-5.9055+0.2560i	-27.4484-0.0610i	-36.9046-0.0630i	-2.7923+0.8914i	-42.6071-0.0632i
2.8542	-14.2333-0.0158i	-28.4788-0.0615i	-12.0828+0.0142i	-5.9002+0.2564i	-27.4040-0.0610i	-37.1264-0.0630i	-2.7889+0.8757i	-42.5357-0.0632i
2.8563	-14.2808-0.0163i	-28.3977-0.0614i	-12.0992+0.0139i	-5.8931+0.2569i	-27.4649-0.0610i	-37.0921-0.0630i	-2.7884+0.8690i	-42.6944-0.0632i
2.8583	-14.2479-0.0159i	-28.4065-0.0614i	-12.0794+0.0143i	-5.8589+0.2596i	-27.5243-0.0610i	-37.3189-0.0630i	-2.7888+0.8752i	-42.4825-0.0632i
2.8604	-14.3075-0.0166i	-28.4860-0.0615i	-12.1007+0.0139i	-5.8237+0.2623i	-27.4741-0.0610i	-37.3823-0.0630i	-2.7884+0.8674i	-42.6364-0.0632i
2.8625	-14.2724-0.0162i	-28.4582-0.0615i	-12.1096+0.0137i	-5.8016+0.2641i	-27.5171-0.0610i	-37.6006-0.0631i	-2.7884+0.8642i	-42.6711-0.0632i
2.8646	-14.2897-0.0164i	-28.5392-0.0615i	-12.1073+0.0138i	-5.8038+0.2639i	-27.6144-0.0611i	-37.5801-0.0631i	-2.7907+0.8485i	-42.9338-0.0632i
2.8667	-14.2872-0.0163i	-28.4892-0.0615i	-12.1054+0.0138i	-5.7679+0.2668i	-27.6255-0.0611i	-37.8265-0.0631i	-2.7893+0.8556i	-42.6933-0.0632i
2.8687	-14.2904-0.0164i	-28.4740-0.0615i	-12.1156+0.0136i	-5.7652+0.2670i	-27.6617-0.0611i	-37.8859-0.0631i	-2.7904+0.8497i	-42.9916-0.0632i
2.8708	-14.3216-0.0167i	-28.4654-0.0615i	-12.1143+0.0136i	-5.7539+0.2679i	-27.6557-0.0611i	-38.0964-0.0631i	-2.7919+0.8444i	-42.8922-0.0632i
2.8729	-14.4114-0.0176i	-28.5816-0.0615i	-12.1492+0.0130i	-5.7657+0.2669i	-27.7067-0.0611i	-38.1923-0.0631i	-2.7965+0.8325i	-42.9712-0.0632i
2.8750	-14.3933-0.0175i	-28.5206-0.0615i	-12.1343+0.0133i	-5.7275+0.2700i	-27.6517-0.0611i	-38.4829-0.0631i	-2.7945+0.8371i	-42.8166-0.0632i
2.8771	-14.3467-0.0170i	-28.4421-0.0615i	-12.1107+0.0137i	-5.6759+0.2742i	-27.6662-0.0611i	-38.5884-0.0631i	-2.7933+0.8402i	-43.1149-0.0632i
2.8792	-14.4225-0.0178i	-28.4155-0.0614i	-12.1368+0.0133i	-5.6555+0.2759i	-27.6733-0.0611i	-38.8367-0.0631i	-2.7949+0.8362i	-43.2422-0.0632i
2.8813	-14.4206-0.0177i	-28.3797-0.0614i	-12.1597+0.0129i	-5.6462+0.2767i	-27.7303-0.0611i	-38.9385-0.0631i	-2.7950+0.8359i	-43.2405-0.0632i
2.8833	-14.4041-0.0176i	-28.4204-0.0614i	-12.1784+0.0125i	-5.6154+0.2792i	-27.7405-0.0611i	-39.4323-0.0631i	-2.7938+0.8388i	-42.9342-0.0632i
2.8854	-14.3523-0.0170i	-28.3277-0.0614i	-12.1480+0.0131i	-5.5130+0.2879i	-27.7195-0.0611i	-39.5592-0.0631i	-2.7930+0.8411i	-43.2522-0.0632i
2.8875	-14.4130-0.0177i	-28.2764-0.0614i	-12.1575+0.0129i	-5.4945+0.2895i	-27.7414-0.0611i	-39.9962-0.0631i	-2.7926+0.8422i	-43.0036-0.0632i
2.8896	-14.3960-0.0175i	-28.2506-0.0614i	-12.1600+0.0129i	-5.4545+0.2930i	-27.7314-0.0611i	-40.2254-0.0632i	-2.7926+0.8423i	-43.0948-0.0632i
2.8917	-14.3954-0.0175i	-28.2222-0.0614i	-12.1593+0.0129i	-5.4376+0.2945i	-27.8298-0.0612i	-40.6749-0.0632i	-2.7913+0.8465i	-42.9642-0.0632i
2.8937	-14.3936-0.0175i	-28.2366-0.0614i	-12.1482+0.0131i	-5.3882+0.2989i	-27.8903-0.0612i	-40.8568-0.0632i	-2.7916+0.8452i	-43.2269-0.0632i
2.8958	-14.3945-0.0175i	-28.1907-0.0613i	-12.1587+0.0129i	-5.3692+0.3006i	-27.9554-0.0612i	-41.2131-0.0632i	-2.7914+0.8461i	-43.1280-0.0632i
2.8979	-14.3938-0.0175i	-28.2498-0.0614i	-12.1607+0.0128i	-5.3352+0.3037i	-28.0346-0.0613i	-41.4727-0.0632i	-2.7916+0.8455i	-43.2574-0.0632i
2.9000	-14.3594-0.0171i	-28.2284-0.0614i	-12.1819+0.0125i	-5.3091+0.3061i	-27.9909-0.0613i	-41.9293-0.0632i	-2.7895+0.8545i	-43.1118-0.0632i
2.9021	-14.3598-0.0171i	-28.2674-0.0614i	-12.1837+0.0124i	-5.3043+0.3065i	-28.0740-0.0613i	-42.2311-0.0632i	-2.7892+0.8560i	-43.3449-0.0632i
2.9042	-14.3177-0.0167i	-28.2069-0.0614i	-12.1850+0.0124i	-5.2741+0.3093i	-28.0299-0.0613i	-42.7918-0.0632i	-2.7900+0.8829i	-43.0293-0.0632i
2.9062	-14.3022-0.0165i	-28.2231-0.0614i	-12.1909+0.0123i	-5.2315+0.3133i	-28.0881-0.0613i	-43.1595-0.0632i	-2.7906+0.8853i	-43.0756-0.0632i
2.9083	-14.4969-0.0185i	-28.2063-0.0613i	-12.2483+0.0113i	-5.2954+0.3074i	-28.0139-0.0613i	-43.6759-0.0632i	-2.7886+0.8724i	-42.9565-0.0632i
2.9104	-14.4129-0.0177i	-28.2162-0.0614i	-12.2506+0.0113i	-5.2765+0.3091i	-28.0500-0.0613i	-44.1371-0.0632i	-2.7909+0.8866i	-42.9697-0.0632i
2.9125	-14.5878-0.0194i	-28.1894-0.0613i	-12.3016+0.0104i	-5.3091+0.3061i	-28.0169-0.0613i	-45.0085-0.0632i	-2.7886+0.8735i	-43.1981-0.0632i
2.9146	-14.5347-0.0189i	-28.1843-0.0613i	-12.3031+0.0104i	-5.3144+0.3056i	-28.0430-0.0613i	-45.4704-0.0632i	-2.7920+0.8903i	-43.6845-0.0632i
2.9167	-14.6701-0.0203i	-28.1717-0.0613i	-12.3573+0.0095i	-5.3305+0.3041i	-27.9565-0.0612i	-46.2808-0.0632i	-2.8006+0.9098i	-43.3858-0.0632i
2.9188	-14.6085-0.0197i	-28.1431-0.0613i	-12.3565+0.0095i	-5.3207+0.3050i	-27.9831-0.0612i	-46.9102-0.0633i	-2.7968+0.9026i	-44.2135-0.0632i
2.9208	-14.7443-0.0210i	-28.1156-0.0613i	-12.4155+0.0086i	-5.3879+0.2989i	-27.8894-0.0612i	-47.8873-0.0633i	-2.8017+0.9116i	-44.2892-0.0632i
2.9229	-14.6508-0.0201i	-28.0392-0.0613i	-12.4221+0.0085i	-5.4089+0.2971i	-27.8841-0.0612i	-48.7222-0.0633i	-2.8063+0.9187i	-44.9479-0.0632i
2.9250	-14.7430-0.0210i	-27.9448-0.0612i	-12.4685+0.0077i	-5.4460+0.2938i	-27.7748-0.0611i	-49.8876-0.0633i	-2.8282+0.9439i	-44.6648-0.0632i
2.9271	-14.7018-0.0206i	-28.0011-0.0613i	-12.4912+0.0073i	-5.4505+0.2934i	-27.7908-0.0612i	-50.8652-0.0633i	-2.8318+0.9473i	-45.2672-0.0632i
2.9292	-14.7657-0.0212i	-27.9681-0.0612i	-12.5362+0.0066i	-5.5032+0.2888i	-27.6882-0.0611i	-52.3998-0.0633i	-2.8549+0.9662i	-45.0853-0.0632i
2.9312	-14.7528-0.0211i	-28.0163-0.0613i	-12.5800+0.0059i	-5.5332+0.2862i	-27.6385-0.0611i	-53.9660-0.0633i	-2.8760+0.9808i	-45.5025-0.0632i
2.9333	-14.7816-0.0213i	-27.8668-0.0612i	-12.6089+0.0055i	-5.5002+0.2890i	-27.4528-0.0610i	-55.9254-0.0633i	-2.9196+1.0060i	-45.2897-0.0632i
2.9354	-14.7625-0.0212i	-27.8363-0.0612i	-12.6484+0.0049i	-5.5652+0.2835i	-27.3826-0.0609i	-58.6811-0.0633i	-2.9307+1.0117i	-45.6281-0.0632i
2.9375	-14.8605-0.0221i	-27.8033-0.0612i	-12.6890+0.0042i	-5.5915+0.2812i	-27.0669-0.0608i	-60.7474-0.0633i	-2.9722+1.0312i	-45.2012-0.0632i
2.9396	-14.7911-0.0214i	-27.9177-0.0612i	-12.7208+0.0038i	-5.6183+0.2790i	-27.0194-0.0607i	-65.9192-0.0633i	-3.0222+1.0519i	-45.5379-0.0632i
2.9417	-14.8316-0.0218i	-27.8545-0.0612i	-12.7643+0.0031i	-5.6275+0.2782i	-26.9333-0.0607i	-69.5255-0.0633i	-3.0686+1.0690i	-45.7112-0.0632i
2.9438	-14.8412-0.0219i	-27.9560-0.0612i	-12.7820+0.0028i	-5.6607+0.2755i	-26.7124-0.0606i	-77.1474-0.0633i	-3.1218+1.0870i	-45.8302-0.0632i
2.9458	-14.8462-0.0220i	-27.8864-0.0612i	-12.8173+0.0023i	-5.6901+0.2731i	-26.9529-0.0607i	-74.0743-0.0633i	-3.2488+1.1244i	-44.5880-0.0632i
2.9479	-14.8385-0.0219i	-27.8646-0.0612i	-12.7971+0.0026i	-5.6542+0.2760i	-26.6743-0.0605i	-63.6438-0.0633i	-3.2949+1.1365i	-45.0126-0.0632i
2.9500	-14.7090-0.0206i	-27.9457-0.0612i	-12.8250+0.0022i	-5.6982+0.2724i	-26.6374-0.0605i	-63.4399-0.0633i	-3.4404+1.1713i	-44.2384-0.0632i
2.9521	-14.6853-0.0204i	-27.8785-0.0612i	-12.7549+0.0032i	-5.5845+0.2818i	-26.7283-0.0606i	-62.7833-0.0633i	-3.4799+1.1799i	-44.6530-0.0632i
2.9542	-14.5487-0.0191i	-27.7678-0.0611i	-12.7717+0.0030i	-5.5937+0.2811i	-26.7099-0.0606i	-62.7692-0.0633i	-3.6925+1.2223i	-43.2740-0.0632i
2.9562	-14.6787-0.0203i	-27.8154-0.0612i	-12.8603+0.0017i	-5.6664+0.2750i	-26.2183-0.0602i	-56.2918-0.0633i	-3.8436+1.2489i	-42.7856-0.0632i
2.9583	-14.4480-0.0180i	-27.7292-0.0611i	-12.8235+0.0022i	-5.6098+0.2797i	-26.2865-0.0603i	-55.9788-0.0633i	-4.1042+1.2897i	-41.6994-0.0632i
2.9604	-14.5435-0.0190i	-27.6542-0.0611i	-12.8507+0.0018i	-5.5961+0.2808i	-25.9075-0.0600i	-53.2994-0.0633i	-4.2698+1.3129i	-41.2891-0.0632i
2.9625	-14.2825-0.0163i	-27.9053-0.0612i	-12.8048+0.0025i	-5.5618+0.2837i	-25.9539-0.0600i	-57.3326-0.0633i	-4.5738+1.3515i	-40.2970-0.0632i
2.9646	-14.2516-0.0160i	-27.9979-0.0613i	-12.7228+0.0037i	-5.4125+0.2967i	-25.7968-0.0599i	-54.7816-0.0633i	-4.7277+1.3693i	-39.9689-0.0631i
2.9667	-13.9872-0.0130i	-27.7079-0.0611i	-12.6771+0.0044i	-5.3385+0.3034i	-25.8839-0.0600i	-61.4624-0.0633i	-5.0978+1.4082i	-39.4286-0.0631i
2.9688	-13.9936-0.0131i	-27.8339-0.0612i	-12.6889+0.0042i	-5.4355+0.2947i	-25.3831-0.0596i	-56.1870-0.0633i	-5.2639+1.4241i	-38.9944-0.0631i
2.9708	-13.7695-0.0105i	-27.9049-0.0612i	-12.6845+0.0043i	-5.3672+0.3008i	-25.4607-0.0597i	-53.6454-0.0633i	-5.5894+1.4530i	-38.1072-0.0631i
2.9729	-13.7994-0.0108i	-28.1364-0.0613i	-12.4967+0.0072i	-5.1959+0.3167i	-25.6307-0.0598i	-57.0859-0.0633i	-5.7149+1.4634i	-37.6281-0.0631i
2.9750	-13.7161-0.0098i	-28.1270-0.0613i	-12.4276+0.0084i	-5.1470+0.3214i	-25.7436-0.0599i	-61.8951-0.0633i	-6.1378+1.4957i	-36.8677-0.0630i
2.9771	-13.7541-0.0103i	-28.1095-0.0613i	-12.4384+0.0082i	-5.0418+0.3318i	-25.2905-0.0595i	-66.1487-0.0633i	-6.4257+1.5157i	-36.2173-0.0630i
2.9792	-13.6448-0.0089i	-28.1867-0.0613i	-12.3277+0.0100i	-4.9757+0.3385i	-25.3470-0.0596i	-64.9478-0.0633i	-6.7225+1.5347i	-35.8207-0.0629i
2.9813	-13.6611-0.0091i	-27.9501-0.0612i	-12.3159+0.0102i	-4.9115+0.3452i	-25.0353-0.0593i	-86.8912-0.0633i	-7.0064+1.5515i	-35.2388-0.0629i
2.9833	-13.6077-0.0085i	-28.0532-0.0613i	-12.2552+0.0112i	-4.8349+0.3533i	-25.0584-0.0593i	-62.2331-0.0633i	-7.3554+1.5706i	-34.7458-0.0628i
2.9854	-13.5506-0.0078i	-28.2003-0.0613i	-12.2188+0.0118i	-4.7901+0.3582i	-24.9110-0.0592i	-56.3421-0.0633i	-7.6814+1.5871i	-34.1976-0.0628i
2.9875	-13.5737-0.0081i	-28.1959-0.0613i	-12.1562+0.0129i	-4.7042+0.3678i	-25.2442-0.0595i	-52.7883-0.0633i	-8.0156+1.6026i	-33.7409-0.0627i
2.9896	-13.5020-0.0072i	-28.1508-0.0613i	-12.1300+0.0134i	-4.6217+0.3773i	-24.8559-0.0591i	-51.1374-0.0633i	-8.4985+1.6230i	-33.2675-0.0627i
2.9917	-13.4667-0.0067i	-28.1765-0.0613i	-12.0869+0.0141i	-4.5472+0.3861i	-25.2503-0.0595i	-49.2595-0.0633i	-8.8668+1.6370i	-32.8508-0.0626i
2.9937	-13.4579-0.0066i	-28.0400-0.0613i	-12.0643+0.0145i	-4.5267+0.3886i	-25.1000-0.0593i	-47.5161-0.0633i	-9.2368+1.6500i	-32.5417-0.0626i
2.9958	-13.4102-0.0060i	-28.0820-0.0613i	-12.0257+0.0152i	-4.4386+0.3995i	-25.2599-0.0595i	-46.3743-0.0632i	-9.5848+1.6612i	-32.2055-0.0625i
2.9979	-13.2565-0.0039i	-27.8805-0.0612i	-11.9596+0.0164i	-4.3104+0.4160i	-25.0529-0.0593i	-46.1679-0.0632i	-10.0203+1.6740i	-32.1943-0.0625i
3.0000	-13.3237-0.0048i	-27.8643-0.0612i	-11.9570+0.0164i	-4.2362+0.4261i	-25.0385-0.0593i	-45.4868-0.0632i	-10.3475+1.6829i	-32.0577-0.0625i
3.0021	-13.3337-0.0050i	-27.9050-0.0612i	-12.0062+0.0156i	-4.3039+0.4169i	-25.2213-0.0594i	-44.3691-0.0632i	-10.6764+1.6911i	-31.7185-0.0624i
3.0042	-13.2952-0.0045i	-27.8582-0.0612i	-11.9414+0.0167i	-4.2022+0.4308i	-24.9923-0.0592i	-43.8977-0.0632i	-11.0873+1.7006i	-31.2474-0.0623i
3.0063	-13.3282-0.0049i	-27.9461-0.0612i	-12.0232+0.0153i	-4.2417+0.4253i	-25.0743-0.0593i	-43.2133-0.0632i	-11.3929+1.7071i	-31.1965-0.0623i
3.0083	-13.3499-0.0052i	-27.8555-0.0612i	-11.9951+0.0158i	-4.1969+0.4315i	-24.8422-0.0591i	-42.8473-0.0632i	-11.6712+1.7126i	-31.4005-0.0624i
